Method,Objective,theta(T),omega(T),Max |u|
PINN,0.7250252962112427,0.00042267702519893646,0.00725844781845808,1.9478116035461426
DP / HJB benchmark,0.7844148969692986,0.00962357337349753,-0.00047824629914432616,2.0000000000000004
PMP,9.765508732359132,-1.1768643274166426,-0.08352575553364941,0.840788282973014
