Method,RMSE,Peak Error,Time-to-Peak,Energy,Torque Corr
Learned,0.1331811398267746,0.11143693327903748,0.7099999785423279,40.50926578090497,0.9947023606935718
PD,0.13455602526664734,0.11188361048698425,0.7099999785423279,42.25711330171904,1.0
